"EAN NR.";"NSH Varenr.";"DB NR.";"Varebetegnelse DK";"Varebetegnelse SE";"Varebetegnelse FI";"Varebetegnelse UK"
"5705858076492";"112-540";"";"Garageport 300 x 200 cm u/motor, hvid NORDIC HOME";"Garageport 300 x 200 cm utan motor, vit NORDIC HOME";"Autotallinovi 300 x 200 cm ilman moottoria, valkoinen NORDIC HOME";"Garage door 300 x 200 cm w/o motor, white NORDIC HOME"
"5705858076508";"112-541";"";"Garageport 300 x 200 cm u/motor, sort NORDIC HOME";"Garageport 300 x 200 cm utan motor, svart NORDIC HOME";"Autotallinovi 300 x 200 cm ilman moottoria, musta NORDIC HOME";"Garage door 300 x 200 cm w/o motor, black NORDIC HOME"
"5705858076515";"112-550";"";"Garageport 300 x 212 cm u/motor, hvid NORDIC HOME";"Garageport 300 x 212 cm utan motor, vit NORDIC HOME";"Autotallinovi 300 x 212 cm ilman moottoria, valkoinen NORDIC HOME";"Garage door 300 x 212 cm w/o motor, white NORDIC HOME"
"5705858076522";"112-551";"";"Garageport 300 x 212 cm u/motor, sort NORDIC HOME";"Garageport 300 x 212 cm utan motor, svart NORDIC HOME";"Autotallinovi 300 x 212 cm ilman moottoria, musta NORDIC HOME";"Garage door 300 x 212 cm w/o motor, black NORDIC HOME"
"5705858728292";"112-800";"";"Servicelåge til motorvej og vildtindhegninger";"Servicelucka för motorvägar och vilthägn";"Huoltoportti moottoritie- ja riista-aitoihin";"Service gate for motorway and wildlife fences"
"5705858701752";"112-902";"";"Porttakker galvaniseret 250 cm";"Piggar galv. 250 cm";"Galvanoidut piikit, 250 cm";"Spikes galv. 250 cm"
"5705858032825";"113-010";"";"Extruderet maskinflet, grøn, 800/60/2,3/20 M";"Extruderat industristängsel, grön, 800/60/2,3/20 M";"Hitsattu aitaverkko, suulakepur., vihreä, 800/60/2,3/20 m";"Extruded chain link fence, green, 800/60/2.3/20 M"
"5705858032832";"113-014";"";"Extruderet maskinflet, grøn, 1000/60/2,3/20 M";"Extruderat industristängsel, grön, 1000/60/2,3/20 M";"Hitsattu aitaverkko, suulakepur., vihreä, 1000/60/2,3/20 m";"Extruded chain link fence, green, 1000/60/2.3/20 M"
"5705858032849";"113-018";"";"Extruderet maskinflet, grøn, 1250/60/2,3/20 M";"Extruderat industristängsel, grön, 1250/60/2,3/20 M";"Hitsattu aitaverkko, suulakepur., vihreä, 1250/60/2,3/20 m";"Extruded chain link fence, green, 1250/60/2.3/20 M"
"5705858032863";"113-025";"";"Extruderet maskinflet, grøn, 1750/60/2,3/20 M";"Extruderat industristängsel, grön, 1750/60/2,3/20 M";"Hitsattu aitaverkko, suulakepur., vihreä, 1750/60/2,3/20 m";"Extruded chain link fence, green, 1750/60/2.3/20 M"
"5705858019314";"113-130";"";"Galvaniseret maskinflet, 2000/50/2,41/25 M";"Galvaniserat industristängsel 2000/50/2,41/25 M";"Hitsattu aitaverkko, 50/2,41 x 25 m, galvanoitu";"Galvanised chain link fence 2000/50/2.41/25 M"
"5705858024462";"113-268";"";"Extruderet maskinflet, grå, 1000/50/3,1/25 M";"Extruderat industristängsel, grå, 1000/50/3,1/25 M";"Hitsattu aitaverkko, suulakepur., 1000/50/3,1/25 m, harmaa";"Extruded chain link fence, gray, 1000/50/3.1/25 m"
"5705858024479";"113-272";"";"Extruderet maskinflet, grå, 1250/50/3,1/25 M";"Extruderat industristängsel, grå, 1250/50/3,1/25 M";"Hitsattu aitaverkko, suulakepur., 1250/50/3,1/25 m, harmaa";"Extruded chain link fence, gray, 1250/50/3.1/25 m"
"5705858024486";"113-276";"";"Extruderet maskinflet, grå, 1500/50/3,1/25 M";"Extruderat industristängsel, grå, 1500/50/3,1/25 M";"Hitsattu aitaverkko, suulakepur., 1500/50/3,1/25 m, harmaa";"Extruded chain link fence, gray, 1500/50/3.1/25 m"
"5705858024318";"113-282";"";"Extruderet maskinflet, grå, 1800/50/3,1/25 M";"Extruderat industristängsel, grå, 1800/50/3,1/25 M";"Hitsattu aitaverkko, suulakepur., 1800/50/3,1/25 m, harmaa";"Extruded chain link fence, gray, 1800/50/3.1/25 m"
"5705858024509";"113-288";"";"Extruderet maskinflet, grå, 2000/50/3,1/25 M";"Extruderat industristängsel, grå, 2000/50/3,1/25 M";"Hitsattu aitaverkko, suulakepur., 2000/50/3,1/25 m, harmaa";"Extruded chain link fence, gray, 2000/50/3.1/25 m"
"5705858019390";"113-488";"";"Sintret maskinflet, grå, 1000/50/3,0/25 M";"Sintrat industristängsel, grå, 1000/50/3,0/25 M";"Hitsattu aitaverkko, sintrattu, 1000/50/3,0/25 m, harmaa";"Sintered chain link fence, gray, 1000/50/3.0/25 m"
"5705858019406";"113-492";"";"Sintret maskinflet, grå, 1250/50/3,0/25 M";"Sintrat industristängsel, grå, 1250/50/3,0/25 M";"Hitsattu aitaverkko, sintrattu, 1250/50/3,0/25 m, harmaa";"Sintered chain link fence, gray, 1250/50/3.0/25 m"
"5705858019413";"113-496";"";"Sintret maskinflet, grå, 1500/50/3,0/25 M";"Sintrat industristängsel, grå, 1500/50/3,0/25 M";"Hitsattu aitaverkko, sintrattu, 1500/50/3,0/25 m, harmaa";"Sintered chain link fence, gray, 1500/50/3.0/25 m"
"5705858019420";"113-500";"";"Sintret maskinflet, grå, 1800/50/3,0/25 M";"Sintrat industristängsel, grå, 1800/50/3,0/25 M";"Hitsattu aitaverkko, sintrattu, 1800/50/3,0/25 m, harmaa";"Sintered chain link fence, gray, 1800/50/3.0/25 m"
"5705858019437";"113-504";"";"Sintret maskinflet, grå, 2000/50/3,0/25 M";"Sintrat industristängsel, grå, 2000/50/3,0/25 M";"Hitsattu aitaverkko, sintrattu, 2000/50/3,0/25 m, harmaa";"Sintered chain link fence, gray, 2000/50/3.0/25 m"
"5705858078588";"115-000";"";"Stakithegn 150 x 70 cm, trykimprægneret, NORDIC FENCE, SKAGEN";"Staket 150 x 70 cm, tryckimpregnerat, NORDIC FENCE, SKAGEN";"Aitaelementti 150 x 70 cm, painekyllästetty, NORDIC FENCE, SKAGEN";"Picket Fence 150 x 70 cm, Pressure-Treated, NORDIC FENCE, SKAGEN"
"5705858078595";"115-001";"";"Låge 100 x 70 cm, Trykimprægneret, NORDIC FENCE, SKAGEN";"Grind 100 x 70 cm, Tryckimpregnerad, NORDIC FENCE, SKAGEN";"Portti 100 x 70 cm, painekyllästetty, NORDIC FENCE, SKAGEN";"Picket gate 150 x 70 cm, pressure-treated, NORDIC FENCE, SKAGEN"
"5705858078908";"115-013";"";"Forhave Stakithegn 148 x 70 cm, Trykimprægneret, NORDIC FENCE, NATURE";"Staket 148 x 70 cm, Tryckimpregnerat, NORDIC FENCE, NATURE";"Aitaelementti 148 x 70 cm, painekyllästetty, NORDIC FENCE, NATURE";"Front garden picket fence 148 x 70 cm, pressure-treated, NORDIC FENCE, NATURE"
"5705858078915";"115-014";"";"Forhavelåge 100 x 70 cm, Trykimprægneret, NORDIC FENCE, NATURE";"Grind 100 x 70 cm, Tryckimpregnerad, NORDIC FENCE, NATURE";"Portti 100 x 70 cm, painekyllästetty, NORDIC FENCE, NATURE";"Front garden gate 100 x 70 cm, pressure-treated, NORDIC FENCE, NATURE"
"5705858078786";"115-020";"";"Forhavehegn 180 x 80 cm, trykimprægneret, NORDIC FENCE, FYN";"Staket 180 x 80 cm, Tryckimpregnerat, NORDIC FENCE, FYN";"Aitaelementti 180 x 80 cm, Painekyllästetty, NORDIC FENCE, FYN";"Front garden fence 180 x 80 cm, pressure-treated, NORDIC FENCE, FYN"
"5705858078793";"115-021";"";"Forhavelåge 100 x 80 cm, trykimprægneret, NORDIC FENCE, FYN";"Grind 100 x 80 cm, tryckimpregnerad, NORDIC FENCE, FYN";"Portti 100 x 80 cm, painekyllästetty, NORDIC FENCE, FYN";"Front garden gate 100 x 80 cm, pressure-treated, NORDIC FENCE, FYN"
"5705858077222";"115-023";"";"Forhavehegn 180 x 80 cm, grundmalet sort, NORDIC FENCE, FYN";"Staket 180 x 80 cm, grundmålad svart, NORDIC FENCE, FYN";"Aitaelementti 180 x 80 cm, pohjamaalattu musta, NORDIC FENCE, FYN";"Front garden fence 180 x 80 cm, black primed, NORDIC FENCE, FYN"
"5705858077239";"115-024";"";"Forhavelåge 100 x 80 cm, grundmalet sort, NORDIC FENCE, FYN";"Grind 100 x 80 cm, grundmålad svart, NORDIC FENCE, FYN";"Portti 100 x 80 cm, pohjamaalattu musta, NORDIC FENCE, FYN";"Front garden gate 100 x 80 cm, black primed, NORDIC FENCE, FYN"
"5705858077246";"115-025";"";"Forhavehegn 180 x 80 cm, grundmalet hvid, NORDIC FENCE, FYN";"Staket 180 x 80 cm, grundmålad vit, NORDIC FENCE, FYN";"Aitaelementti 180 x 80 cm, pohjamaalattu valkoinen, NORDIC FENCE, FYN";"Front garden fence 180 x 80 cm, white primed, NORDIC FENCE, FYN"
"5705858077253";"115-026";"";"Forhavelåge 100 x 80 cm, grundmalet hvid, NORDIC FENCE, FYN";"Grind 100 x 80 cm, grundmålad vit, NORDIC FENCE, FYN";"Portti 100 x 80 cm, pohjamaalattu valkoinen, NORDIC FENCE, FYN";"Front garden gate 100 x 80 cm, white primed, NORDIC FENCE, FYN"
"5705858078809";"115-030";"";"Forhavehegn, 180 x 80 cm, Trykimprægneret, NORDIC FENCE, FANØ";"Staket, 180 x 80 cm, Tryckimpregnerat, NORDIC FENCE, FANÖ";"Aitaelementti 180 x 80 cm, painekyllästetty, NORDIC FENCE, FANO";"Front garden fence, 180 x 80 cm, pressure-treated, NORDIC FENCE, FANØ"
"5705858078816";"115-031";"";"Forhavelåge, 93 x 80 cm, Trykimprægneret, NORDIC FENCE, FANØ";"Grind, 93 x 80 cm, Tryckimpregnerad, NORDIC FENCE, FANÖ";"Portti 93 x 80 cm, painekyllästetty, NORDIC FENCE, FANO";"Front garden gate, 93 x 80 cm, pressure-treated, NORDIC FENCE, FANØ"
"5705858078823";"115-040";"";"Forhavehegn 180 x 80 cm, trykimprægneret, NORDIC FENCE, SENSE";"Staket 180 x 80 cm, tryckimpregnerat, NORDIC FENCE, SENSE";"Etupihan aita 180 x 80 cm, painekyllästetty, NORDIC FENCE, SENSE";"Front garden fence 180 x 80 cm, pressure-treated, NORDIC FENCE, SENSE"
"5705858078847";"115-041";"";"Forhave låge 100 x 80 cm, trykimprægneret, NORDIC FENCE, SENSE";"Grind 100 x 80 cm, tryckimpregnerad, NORDIC FENCE, SENSE";"Portti 100 x 80 cm, painekyllästetty, NORDIC FENCE, SENSE";"Front garden gate 100 x 80 cm, pressure-treated, NORDIC FENCE, SENSE"
"5705858078830";"115-042";"";"Forhavehegn 180 x 80 cm, grundmalet sort, NORDIC FENCE, SENSE";"Staket 180 x 80 cm, Grundmålad Svart, NORDIC FENCE, SENSE";"Aitaelementti 180 x 80 cm, pohjamaalattu musta, NORDIC FENCE, SENSE";"Front garden fence 180 x 80 cm, black primed, NORDIC FENCE, SENSE"
"5705858078854";"115-043";"";"Forhave låge 100 x 80 cm, grundmalet sort, NORDIC FENCE, SENSE";"Grind 100 x 80 cm, grundmålad svart, NORDIC FENCE, SENSE";"Portti 100 x 80 cm, pohjamaalattu musta, NORDIC FENCE, SENSE";"Front garden gate 100 x 80 cm, black primed, NORDIC FENCE, SENSE"
"5705858078861";"115-050";"";"Forhavehegn 180 x 90 cm, grundmalet hvid, NORDIC FENCE, Tendens";"Staket 180 x 90 cm, grundmålad vit, NORDIC FENCE, Tendens";"Etupihan aita 180 x 90 cm, pohjamaalattu valkoinen, NORDIC FENCE, TENDENS";"Front garden fence 180 x 90 cm, white primed, NORDIC FENCE, Tendens"
"5705858078878";"115-051";"";"Forhavelåge 100 x 90 cm, grundmalet hvid, NORDIC FENCE, Tendens";"Grind 100 x 90 cm, grundmålad vit, NORDIC FENCE, Tendens";"Etupihan portti 100 x 90 cm, pohjamaalattu valkoinen, NORDIC FENCE, TENDENS";"Front garden gate 100 x 90 cm, primed white, NORDIC FENCE, Tendens"
"5705858078885";"115-052";"";"Forhavehegn 180 x 90 cm, grundmalet sort, NORDIC FENCE, Tendens";"Staket 180 x 90 cm, grundmålad svart, NORDIC FENCE, Tendens";"Etupihan aita 180 x 90 cm, pohjamaalattu musta, NORDIC FENCE, TENDENS";"Front garden fence 180 x 90 cm, primed black, NORDIC FENCE, Tendens"
"5705858078892";"115-053";"";"Forhavelåge 100 x 90 cm, grundmalet sort, NORDIC FENCE, Tendens";"Grind 100 x 90 cm, grundmålad svart, NORDIC FENCE, Tendens";"Etupihan portti 100 x 90 cm, pohjamaalattu musta, NORDIC FENCE, TENDENS";"Front garden gate 100 x 90 cm, primed black, NORDIC FENCE, Tendens"
"5705858080024";"115-062";"";"Fjordby forhavehegn 160 x 80 cm NORDIC FENCE";"Fjordby trädgårdsstaket 160 × 80 cm NORDIC FENCE";"Fjordby-etupihan aita 160 x 80 cm";"Fjordby Front yard fence 160 x 80 cm NORDIC FENCE"
"5705858080031";"115-063";"";"Fjordby forhavelåge 100 x 80 cm NORDIC FENCE";"Fjordby trädgårdsgrind 100 × 80 cm NORDIC FENCE";"Fjordby-etupihanaidan portti 100 x 80 cm";"Fjordby front yard gate 100 x 80 cm NORDIC FENCE"
"5705858078663";"115-101";"";"Lamelhegn 180 x 150 cm, trykimprægneret, NORDIC FENCE, BASE";"Lamell vindskydd 180 x 150 cm, tryckimpregnerat, NORDIC FENCE, BASE";"Lamelliaita 180 x 150 cm, painekyllästetty, NORDIC FENCE, BASE";"Slatted fence 180 x 150 cm, pressure-treated, NORDIC FENCE, BASE"
"5705858078670";"115-102";"";"Lamelhegn 180 x 180 cm, trykimprægneret, NORDIC FENCE, BASE";"Lamell vindskydd 180 x 180 cm, tryckimpregnerat, NORDIC FENCE, BASE";"Lamelliaita 180 x 180 cm, painekyllästetty, NORDIC FENCE, BASE";"Slatted fence 180 x 180 cm, pressure-treated, NORDIC FENCE, BASE"
"5705858078687";"115-107";"";"Lamelhegnslåge 100 x 150 cm, trykimprægneret, NORDIC FENCE, BASE";"Lamellgrind 100 x 150 cm, tryckimpregnerad, NORDIC FENCE, BASE";"Lamelliaidan portti 100 x 150 cm, painekyllästetty, NORDIC FENCE, BASE";"Slatted fence gate 100 x 150 cm, pressure-treated, NORDIC FENCE, BASE"
"5705858078694";"115-108";"";"Lamelhegnslåge 100 x 180 cm, trykimprægneret, NORDIC FENCE, BASE";"Lamellgrind 100 x 180 cm, tryckimpregnerad, NORDIC FENCE, BASE";"Lamelliaidan portti 100 x 180 cm, painekyllästetty, NORDIC FENCE, BASE";"Slatted fence gate 100 x 180 cm, pressure-treated, NORDIC FENCE, BASE"
"5705858728032";"115-110";"";"Læhegn, 120 x 180 cm, sort grundmalet, NORDIC FENCE, LINEAR";"Vindskydd, 120 x 180 cm, svart grundmålat, NORDIC FENCE, LINEAR";"Tuulensuoja-aita 120 x 180 cm, pohjamaalattu musta, NORDIC FENCE, LINEAR";"Windbreak fence, 120 x 180 cm, black primed, NORDIC FENCE, LINEAR"
"5705858728025";"115-112";"";"Læhegn, 180 x 180 cm, sort grundmalet, NORDIC FENCE, LINEAR";"Vindskydd, 180 x 180 cm, svart grundmålat, NORDIC FENCE, LINEAR";"Tuulensuoja-aita 180 x 180 cm, pohjamaalattu musta, NORDIC FENCE, LINEAR";"Windbreak fence, 180 x 180 cm, black primed, NORDIC FENCE, LINEAR"
"5705858728056";"115-120";"";"Læhegn, 90 x 180 cm, trykimprægneret, NORDIC FENCE, STRAIGHT";"Vindskydd, 90 x 180 cm, tryckimpregnerat, NORDIC FENCE, STRAIGHT";"Tuulensuoja-aita 90 x 180 cm, painekyllästetty, NORDIC FENCE, STRAIGHT";"Windbreak fence, 90 x 180 cm, pressure-treated, NORDIC FENCE, STRAIGHT"
"5705858728049";"115-122";"";"Læhegn, 180 x 180 cm, trykimprægneret, NORDIC FENCE, STRAIGHT";"Vindskydd, 180 x 180 cm, tryckimpregnerat, NORDIC FENCE, STRAIGHT";"Tuulensuoja-aita 180 x 180 cm, painekyllästetty, NORDIC FENCE, STRAIGHT";"Windbreak fence, 180 x 180 cm, pressure-treated, NORDIC FENCE, STRAIGHT"
"5705858078434";"115-130";"";"Jalousihegn 180 x 140 cm, trykimprægneret, NORDIC FENCE, JUTLANDIA";"Jalusi Vindskydd 180 x 140 cm, tryckimpregnerad, NORDIC FENCE, JUTLANDIA";"Rimapaneeliaita 180 x 140 cm, painekyllästetty, NORDIC FENCE, JUTLANDIA";"Louvered fence 180 x 140 cm, pressure-treated, NORDIC FENCE, JUTLANDIA"
"5715050000140";"115-131";"";"Jalousihegn 180 x 180 cm, trykimprægneret, NORDIC FENCE, JUTLANDIA";"Jalusi Vindskydd 180 x 180 cm, tryckimpregnerad, NORDIC FENCE, JUTLANDIA";"Rimapaneeliaita 180 x 180 cm, painekyllästetty, NORDIC FENCE, JUTLANDIA";"Louvered fence 180 x 180 cm, pressure-Ttreated, NORDIC FENCE, JUTLANDIA"
"5715050000133";"115-132";"";"Jalousihegn 180 x 90 cm, trykimprægneret, NORDIC FENCE, JUTLANDIA";"Jalusi Vindskydd 180 x 90 cm, tryckimpregnerad, NORDIC FENCE, JUTLANDIA";"Rimapaneeliaita 180 x 90 cm, painekyllästetty, NORDIC FENCE, JUTLANDIA";"Louvered fence 180 x 90 cm, pressure-treated, NORDIC FENCE, JUTLANDIA"
"5705858078441";"115-133";"";"Jalousihegn 90 x 180 cm, trykimprægneret, NORDIC FENCE, JUTLANDIA";"Jalusi Vindskydd 90 x 180 cm, tryckimpregnerad, NORDIC FENCE, JUTLANDIA";"Rimapaneeliaita 90 x 180 cm, painekyllästetty, NORDIC FENCE, JUTLANDIA";"Louvered fence 90 x 180 cm, pressure-treated, NORDIC FENCE, JUTLANDIA"
"5705858078458";"115-140";"";"Espalierhegn 180 x 180 cm, trykimprægneret, NORDIC FENCE, SERENE";"Spaljéstaket 180 x 180 cm, tryckimpregnerat, NORDIC FENCE, SERENE";"Säleikköaitaelementti 180 x 180 cm, painekyllästetty, NORDIC FENCE, SERENE";"Trellis fence 180 x 180 cm, pressure-treated, NORDIC FENCE, SERENE"
"5705858078465";"115-141";"";"Espalierhegn 180 x 83 cm, trykimprægneret, NORDIC FENCE, SERENE";"Spaljéstaket 180 x 83 cm, tryckimpregnerat, NORDIC FENCE, SERENE";"Säleikköaitaelementti 180 x 83 cm, painekyllästetty, NORDIC FENCE, SERENE";"Trellis fence 180 x 83 cm, pressure-treated, NORDIC FENCE, SERENE"
"5705858078472";"115-142";"";"Espalierhegn 83 x 180 cm, trykimprægneret, NORDIC FENCE, SERENE";"Spaljéstaket 83 x 180 cm, tryckimpregnerat, NORDIC FENCE, SERENE";"Säleikköaitaelementti 83 x 180 cm, painekyllästetty, NORDIC FENCE, SERENE";"Trellis fence 83 x 180 cm, pressure-treated, NORDIC FENCE, SERENE"
"5705858078519";"115-153";"";"Tæthegn 180 x 150 cm, trykimprægneret, NORDIC FENCE, SOLID";"Skärmvägg 180 x 150 cm, tryckimpregnerat, NORDIC FENCE, SOLID";"Umpinainen aitapaneeli 150 x 180 cm, painekyllästetty, NORDIC FENCE, SOLID";"Privacy fence 180 x 150 cm, pressure-treated, NORDIC FENCE, SOLID"
"5705858078502";"115-154";"";"Tæthegn 90 x 180 cm, trykimprægneret, NORDIC FENCE, SOLID";"Skärmvägg 90 x 180 cm, tryckimpregnerat, NORDIC FENCE, SOLID";"Umpinainen aitapaneeli 90 x 180 cm, painekyllästetty, NORDIC FENCE, SOLID";"Privacy fence 90 x 180 cm, pressure-treated, NORDIC FENCE, SOLID"
"5705858078526";"115-155";"";"Tæthegn 180 x 180 cm, trykimprægneret, NORDIC FENCE, SOLID";"Skärmvägg 180 x 180 cm, tryckimpregnerat, NORDIC FENCE, SOLID";"Umpinainen aitapaneeli 180 x 180 cm, painekyllästetty, NORDIC FENCE, SOLID";"Privacy fence 180 x 180 cm, pressure-treated, NORDIC FENCE, SOLID"
"5705858078533";"115-158";"";"Tæthegnslåge 100 x 150 cm, trykimprægneret, NORDIC FENCE, SOLID";"Grind 100 x 150 cm, tryckimpregnerad, NORDIC FENCE, SOLID";"Umpinaisen paneeliaidan portti 100 x 150 cm, painekyllästetty, NORDIC FENCE, SOLID";"Pirvacy fence gate 100 x 150 cm, pressure-treated, NORDIC FENCE, SOLID"
"5705858078540";"115-159";"";"Tæthegnslåge 100 x 180 cm, trykimprægneret, NORDIC FENCE, SOLID";"Grind 100 x 180 cm, tryckimpregnerad, NORDIC FENCE, SOLID";"Umpinaisen paneeliaidan portti 100 x 180 cm, painekyllästetty, NORDIC FENCE, SOLID";"Privacy fence gate 100 x 180 cm, pressure-treated, NORDIC FENCE, SOLID"
"5705858078557";"115-161";"";"Tæthegn med Espalier 180 x 120 cm, trykimprægneret, NORDIC FENCE, SOLID";"Skärmvägg med Spaljé 180 x 120 cm, tryckimpregnerat, NORDIC FENCE, SOLID";"Umpinainen aitapaneeli säleikköyläosalla 180 x 120 cm, painekyllästetty, NORDIC FENCE, SOLID";"Privacy fence with trellis 180 x 120 cm, pressure-treated, NORDIC FENCE, SOLID"
"5705858078564";"115-163";"";"Tæthegn med Espalier 180 x 150 cm, trykimprægneret, NORDIC FENCE, SOLID";"Skärmvägg med Spaljé 180 x 150 cm, tryckimpregnerat, NORDIC FENCE, SOLID";"Umpinainen aitapaneeli säleikköyläosalla 180 x 150 cm, painekyllästetty, NORDIC FENCE, SOLID";"Privacy fence with trellis 180 x 150 cm, pressure-treated, NORDIC FENCE, SOLID"
"5705858078571";"115-164";"";"Tæthegn med Espalier 90 x 165 cm, trykimprægneret, NORDIC FENCE, SOLID";"Skärmvägg med Spaljé 90 x 165 cm, tryckimpregnerat, NORDIC FENCE, SOLID";"Umpinainen aitapaneeli säleikköyläosalla 90 x 165 cm, painekyllästetty, NORDIC FENCE, SOLID";"Privacy fence with trellis 90 x 165 cm, pressure-treated, NORDIC FENCE, SOLID"
"5705858078625";"115-165";"";"Tæthegn med Espalier 180 x 165 cm, trykimprægneret, NORDIC FENCE, SOLID";"Skärmvägg med Spaljé 180 x 165 cm, tryckimpregnerat, NORDIC FENCE, SOLID";"Umpinainen aitapaneeli säleikköyläosalla 180 x 165 cm, painekyllästetty, NORDIC FENCE, SOLID";"Privacy fence with trellis 180 x 165 cm, pressure-treated, NORDIC FENCE, SOLID"
"5705858078632";"115-167";"";"Tæthegn med Espalier 180 x 180 cm, trykimprægneret, NORDIC FENCE, SOLID";"Skärmvägg med Spaljé 180 x 180 cm, tryckimpregnerat, NORDIC FENCE, SOLID";"Umpinainen aitapaneeli säleikköyläosalla 180 x 180 cm, painekyllästetty, NORDIC FENCE, SOLID";"Privacy fence with trellis 180 x 180 cm, pressure-treated, NORDIC FENCE, SOLID"
"5705858078649";"115-174";"";"Tæthegn med espalier 180 x 135/150 cm, trykimprægneret, NORDIC FENCE, SOLID";"Skärmvägg med Spaljé 180 x 135/150 cm, tryckimpregnerat, NORDIC FENCE, SOLID";"Umpinainen aitapaneeli kaarevalla säleikköyläosalla 180 x 135/150 cm, painekyllästetty, NORDIC FENCE, SOLID";"Privacy fence with trellis 180 x 135/150 cm, pressure-treated, NORDIC FENCE, SOLID"
"5705858078656";"115-176";"";"Tæthegn med espalier 180 x 165/180 cm, trykimprægneret, NORDIC FENCE, SOLID";"Skärmvägg med Spaljé 180 x 165/180 cm, tryckimpregnerat, NORDIC FENCE, SOLID";"Umpinainen aitapaneeli kaarevalla säleikköyläosalla 180 x 165/180 cm, painekyllästetty, NORDIC FENCE, SOLID";"Privacy fence with trellis 180 x 165/180 cm, pressure-treated, NORDIC FENCE, SOLID"
"5705858078700";"115-178";"";"Espalierhegn, Trykimprægneret, 60 x 165 cm, NORDIC FENCE, SOLID";"Spaljéstaket, Tryckimpregnerad. 60 x 165 cm, NORDIC FENCE SOLID";"Säleikköaitaelementti, 60 x 165 cm, painekyllästetty, NORDIC FENCE SOLID";"Trellis fence, pressure-treated, 60 x 165 cm, NORDIC FENCE, SOLID"
"5705858077024";"115-180";"";"Læhegn 90 x 180 cm, sort grundmalet, NORDIC FENCE, SENSE";"Vindskydd 90 x 180 cm, svart grundmålat, NORDIC FENCE, SENSE";"Tuulensuoja-aita 90 x 180 cm, pohjamaalattu musta, NORDIC FENCE, SENSE";"Windbreak fence 90 x 180 cm, black primed, NORDIC FENCE, SENSE"
"5705858077031";"115-181";"";"Læhegn 180 x 180 cm, sort grundmalet, NORDIC FENCE, SENSE";"Vindskydd 180 x 180 cm, svart grundmålat, NORDIC FENCE, SENSE";"Tuulensuoja-aita 180 x 180 cm, pohjamaalattu musta, NORDIC FENCE, SENSE";"Windbreak fence 180 x 180 cm, black primed, NORDIC FENCE, SENSE"
"5705858077048";"115-185";"";"Læhegn 180 x 180 cm, trykimprægneret, NORDIC FENCE, SENSE";"Vindskydd 180 x 180 cm, tryckimpregnerat, NORDIC FENCE, SENSE";"Tuulensuoja-aita 180 x 180 cm, painekyllästetty, NORDIC FENCE, SENSE";"Windbreak fence 180 x 180 cm, pressure-treated, NORDIC FENCE, SENSE"
"5705858078960";"115-190";"";"Læhegn, sort grundmalet, 80 x 120 cm, NORDIC FENCE, NOVA";"Vindskydd, Svart Grundmålad, 80 x 120 cm, NORDIC FENCE, NOVA";"Suoja-aita, pohjamaalattu musta, 80 x 120 cm, NORDIC FENCE, NOVA";"Windbreak fence, black primed, 80 x 120 cm, NORDIC FENCE, NOVA"
"5705858078922";"115-191";"";"Læhegn, Svart Grundmalet, 160 x 90 cm, NORDIC FENCE, NOVA";"Vindskydd, Svart Grundmålad, 160 x 90 cm, NORDIC FENCE, NOVA";"Suoja-aita, pohjamaalattu musta, 160 x 90 cm, NORDIC FENCE, NOVA";"Windbreak fence, black primed, 160 x 90 cm, NORDIC FENCE, NOVA"
"5705858078939";"115-192";"";"Læhegn, sort grundmalet, 160 x 120 cm, NORDIC FENCE, NOVA";"Vindskydd, Svart Grundmålad, 160 x 120 cm, NORDIC FENCE, NOVA";"Suoja-aita, pohjamaalattu musta, 160 x 120 cm, NORDIC FENCE, NOVA";"Windbreak fence, black primed, 160 x 120 cm, NORDIC FENCE, NOVA"
"5705858078977";"115-193";"";"Læhegn, sort grundmalet, 160 x 160 cm, NORDIC FENCE, NOVA";"Vindskydd, Svart Grundmålad, 160 x 160 cm, NORDIC FENCE, NOVA";"Suoja-aita, pohjamaalattu musta, 160 x 160 cm, NORDIC FENCE, NOVA";"Windbreak fence, black primed, 160 x 160 cm, NORDIC FENCE, NOVA"
"5705858077000";"115-195";"";"Læhegn, Teak Grundmalet, 80 x 120 cm, NORDIC FENCE, NOVA";"Vindskydd, Teak Grundmålad, 80 x 120 cm, NORDIC FENCE, NOVA";"Suoja-aita, tiikinvärinen pohjamaalattu, 80 x 120 cm, NORDIC FENCE, NOVA";"Windbreak fence, teak primed, 80 x 120 cm, NORDIC FENCE, NOVA"
"5705858078984";"115-196";"";"Læhegn, Teak Grundmalet, 160 x 90 cm, NORDIC FENCE, NOVA";"Vindskydd, Teak Grundmålad, 160 x 90 cm, NORDIC FENCE, NOVA";"Suoja-aita, tiikinvärinen pohjamaalattu, 160 x 90 cm, NORDIC FENCE, NOVA";"Windbreak fence, teak primed, 160 x 90 cm, NORDIC FENCE, NOVA"
"5705858078991";"115-197";"";"Læhegn, Teak Grundmalet, 160 x 120 cm, NORDIC FENCE, NOVA";"Vindskydd, Teak Grundmålad, 160 x 120 cm, NORDIC FENCE, NOVA";"Suoja-aita, tiikinvärinen pohjamaalattu, 160 x 120 cm, NORDIC FENCE, NOVA";"Windbreak fence, teak primed, 160 x 120 cm, NORDIC FENCE, NOVA"
